nameWithOwner,url,stargazers/totalCount,watchers/totalCount,forks/totalCount,releases/totalCount,createdAt,primaryLanguage/name,totalLOC
guozhongluo/head-pose-estimation-and-face-landmark,https://github.com/guozhongluo/head-pose-estimation-and-face-landmark,190,9,77,0,2016-08-09T06:46:16Z,Python,1041
liato/android-market-api-py,https://github.com/liato/android-market-api-py,123,11,39,0,2011-03-05T03:33:09Z,Python,1862
apoorvavinod/Real_time_Object_detection_and_tracking,https://github.com/apoorvavinod/Real_time_Object_detection_and_tracking,206,9,73,0,2018-04-15T11:58:32Z,Python,328
laginimaineb/android_fde_bruteforce,https://github.com/laginimaineb/android_fde_bruteforce,137,18,35,0,2016-06-30T11:59:02Z,Python,241
greatgeekgrace/Technical-Analysis-And-Practice-in-TensorFlow,https://github.com/greatgeekgrace/Technical-Analysis-And-Practice-in-TensorFlow,152,20,83,0,2017-06-01T07:48:57Z,Python,0
jrzaurin/Wide-and-Deep-Keras,https://github.com/jrzaurin/Wide-and-Deep-Keras,109,4,42,0,2017-05-09T10:22:43Z,Python,389
packetlss/android-locdump,https://github.com/packetlss/android-locdump,183,8,21,0,2011-04-21T16:53:15Z,Python,89
tsenghungchen/show-adapt-and-tell,https://github.com/tsenghungchen/show-adapt-and-tell,140,3,37,0,2017-07-28T06:58:33Z,Python,2665
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,13548,831,3955,1,2016-10-18T07:29:07Z,Python,2665
thomasmesnard/DeepMind-Teaching-Machines-to-Read-and-Comprehend,https://github.com/thomasmesnard/DeepMind-Teaching-Machines-to-Read-and-Comprehend,410,30,100,0,2016-02-29T23:26:12Z,Python,798
Dikea/Dialog-System-with-Task-Retrieval-and-Seq2seq,https://github.com/Dikea/Dialog-System-with-Task-Retrieval-and-Seq2seq,327,7,112,0,2018-10-22T13:28:20Z,Python,2636
PyPatel/Machine-Learning-and-AI-in-Trading,https://github.com/PyPatel/Machine-Learning-and-AI-in-Trading,163,16,65,0,2017-08-30T06:14:59Z,Python,2636
ErikRHanson/Problem-Solving-with-Algorithms-and-Data-Structures-Using-Python,https://github.com/ErikRHanson/Problem-Solving-with-Algorithms-and-Data-Structures-Using-Python,224,23,123,0,2014-01-28T05:02:24Z,Python,4290
LiuDianshi/Icourses-Videos-and-PPTs-Download,https://github.com/LiuDianshi/Icourses-Videos-and-PPTs-Download,150,9,41,6,2018-03-05T08:11:41Z,Python,417
quentinhardy/scriptsAndExploits,https://github.com/quentinhardy/scriptsAndExploits,137,13,28,0,2018-07-07T12:29:30Z,Python,147
AI-ON/Multitask-and-Transfer-Learning,https://github.com/AI-ON/Multitask-and-Transfer-Learning,132,28,29,0,2017-02-26T00:14:37Z,Python,1353
davidrlunu/dots-and-dashes,https://github.com/davidrlunu/dots-and-dashes,200,13,23,0,2016-05-12T00:33:05Z,Python,109
sz128/slot_filling_and_intent_detection_of_SLU,https://github.com/sz128/slot_filling_and_intent_detection_of_SLU,194,12,52,0,2018-06-05T05:51:46Z,Python,109
keefecn/python_practice_of_data_analysis_and_mining,https://github.com/keefecn/python_practice_of_data_analysis_and_mining,106,8,64,0,2017-10-03T21:22:24Z,Python,1488
yuanxiaosc/BERT-for-Sequence-Labeling-and-Text-Classification,https://github.com/yuanxiaosc/BERT-for-Sequence-Labeling-and-Text-Classification,195,9,49,0,2019-02-21T12:29:30Z,Python,11011
maiyao1988/ExAndroidNativeEmu,https://github.com/maiyao1988/ExAndroidNativeEmu,120,11,29,0,2020-01-27T14:10:24Z,Python,7316
AdityaPai2398/Vehicle-And-Pedestrian-Detection-Using-Haar-Cascades,https://github.com/AdityaPai2398/Vehicle-And-Pedestrian-Detection-Using-Haar-Cascades,103,4,63,0,2017-12-17T05:33:49Z,Python,244
